"","KO.P2.1","KO.P2.2","KO.P2.3","KO.P2.4","WT.P2.1","WT.P2.2","WT.P2.3","WT.P2.4","KO.P10.1","KO.P10.2","KO.P10.3","KO.P10.4","WT.P10.1","WT.P10.2","WT.P10.3","WT.P10.4","KO.2.1","KO.2.2","KO.2.3","KO.2.4","WT.2.1","WT.2.2","WT.2.3","WT.2.4"
"Atp1b2",6.08716833307239,6.89139072917884,6.97258566163291,6.27756279805557,7.10863826329962,6.9559253889339,6.66584981116809,5.8352143308425,7.92409663244144,7.97950404968659,8.04437271627801,7.9131257291642,8.7177785773324,8.03904395440691,8.08044494221655,8.18244536295418,8.99258615548731,9.07520848730985,8.41313588579713,8.88809809526901,8.31246132205994,8.19825664905774,7.85514640416968,7.81025730207058
"Opn1sw",8.57836660704311,8.54561589292002,8.72712243577179,8.72136910414826,8.00512224979932,8.71301038584527,7.87964153101778,8.48254465960739,11.8231452124123,12.0298684018773,11.8351998274818,12.028873953133,9.03868900203013,8.77634618774094,8.78815789581668,8.75326545480327,12.75144942725,12.8306072276085,12.792769869127,12.8192445999347,9.77988448230569,9.48981216013663,9.37900617499614,9.57351872164091
"Fabp7",10.3364172326666,10.0528946325798,9.8170728571265,10.4436781749371,9.8569982748981,10.0878395928153,9.9785372609618,10.0314718012252,9.7708995358601,9.90324141425694,9.63621518677079,9.83613084716195,7.82981242105207,7.77275863640808,8.01258972289575,8.4075996682076,8.44339125271665,8.36294183795084,8.3299974811517,8.80774880607115,5.83870587950724,5.48454655255409,5.27764477898656,5.57731484318179
"Prdm1",7.98505466419745,7.80570107341062,7.6326650011873,7.71279439501153,7.56760584785339,7.89053390687755,7.44905715133129,7.60410636213961,7.55672226135175,7.35304965792946,7.37475684499819,7.45052627213691,6.83208038175944,6.75463934007088,6.83351982068482,7.26142661011505,6.99358533353701,6.76524865225545,6.88915282698791,7.05541504267425,5.61997293188975,5.31747795559676,5.28340156392054,5.46672456622736
"Zfp36l2",9.36654990878905,9.52836594874882,9.17626337353041,9.29356058858093,8.71298252785755,9.08668141053574,8.73245216152636,8.89442774440461,7.44587249602824,7.13914346996309,7.41574328348853,7.26653327163513,8.43327860833218,8.08931046413787,8.20918834793544,8.48447568717759,7.30998842508165,7.17444166269095,7.32485362017068,7.39190604444056,8.99642986346069,9.48596473414637,9.04412786807845,9.29760813317597
"Cacna2d3",6.48060054893811,6.21781490062611,6.23915944289151,6.19663947104652,6.18557450106727,6.08712359468138,6.42175715964975,6.41317168972814,7.3001955470556,7.31598995645713,7.3651868404122,7.31590707847703,7.49739591593792,7.18805289871025,7.25191799787809,7.32013827044783,8.18303350134906,8.05619464750725,8.17977359900167,8.32107655073026,9.18625807630483,9.16162020981566,9.21719262712999,9.40170735808041
"Cacnb2",5.37168977880252,5.28907615598102,5.13501072393349,5.00924490063385,5.2256326969669,4.72825319700731,5.1986431340711,5.26420002367029,6.02958687956429,5.83502960479042,5.82380007404658,5.62701725508363,7.47185974110453,6.86836688888852,6.94979462413828,6.9858254241624,7.05044962515571,6.81829751072125,6.74989381434504,6.93050957932453,7.95690804384125,7.69013204881551,7.58888431237993,7.90242724402482
"Camk2b",7.58743476709884,7.45520482630064,7.69935464055935,7.58590864778552,7.5998988867299,7.51122479426729,7.465262940896,7.6956844333838,9.71925195371621,9.91237254604126,9.93096851533049,9.88360433603792,8.62511036245691,8.56926805395275,8.62310904877336,8.78578080748791,10.1004055088444,10.1633377587023,10.109910734543,10.4255344221719,8.41436761225573,8.63300380979165,8.53407074829122,8.62997453189768
"Casp7",6.50935805385719,6.85973442479148,6.61861327963628,6.88757323586653,6.67568763393721,6.68801385419261,6.52996399397195,6.63857094084016,7.73284995386259,7.76747657908135,7.69395559177996,7.51348696899093,6.9600284450038,6.88296926188223,6.77517895397469,6.74775764391616,9.94359801718176,9.98542206203525,9.75868198360464,10.0800525869428,7.37178336153263,7.14924139939056,7.07523743849421,7.38962435477342
"Cckbr",7.29833359625346,7.16318411301513,7.20417503705324,7.22400236471576,7.30933989870764,7.06358315412519,7.07883824789094,7.15072744140451,8.09710553440434,8.10687859790126,7.99402566452631,8.05139392860071,7.36904947991154,7.64876531453785,7.60105922238733,7.45869825026177,8.84654857595469,8.70941424450961,8.68218279077473,8.65728200431197,7.58885197545245,7.46794809023269,7.45506061411071,7.36981336567693
"Cdr2",4.89734809038466,5.15274060069251,5.12421549596628,5.34615202413572,5.12655616267627,5.1501578257631,5.29091524481145,5.35199872079492,4.65489729225456,4.29056833680637,4.37433500862705,4.50236076170287,6.4075251205087,6.20476707612304,6.07424800699643,6.11502888478569,5.69624373897799,5.50215615693992,5.47072205140568,6.08292459870413,8.09786174955943,8.2449362382441,8.3977041217543,8.52603374468029
"Cebpd",5.33254811743491,4.55013198244904,4.34052847792664,4.62713967014228,4.62163045676036,4.56230393757139,4.76632420870482,4.62336854391455,5.77804827186198,5.43101196988428,5.5013028453729,5.36110939759973,5.0881014196072,5.47874787436757,5.21839389505123,5.44288180598174,7.74576772540008,7.50127401550968,6.96420452973418,7.68424127196398,5.94226547433514,6.46796096604151,6.3473122505853,6.4570594825348
"Socs3",5.73259179141423,5.88779952650951,5.68428026337322,5.82335514328021,5.724451104575,5.47138419413827,5.51424390601649,5.58359172132706,5.99057970179262,5.84830700026633,5.88807846499238,5.90435476413821,4.78192474704636,5.22728777935122,5.4498855962534,5.04174509577419,6.70439570651523,6.60115495215553,6.51886296495348,6.81792342877535,5.34299777622107,5.01686148291362,5.33484035826957,5.30572773242382
"Cited1",6.38154042645419,6.63006747111389,6.58667328418932,6.67743589207704,6.49573846193595,6.35962057399887,6.3856723310619,6.56511168443975,7.76711358050862,7.77944209533387,7.90590818609918,7.57439106898028,6.36705423937718,6.42586988806306,6.4435216345198,6.63796356317865,6.84399869602373,6.96387936231297,6.90608175576006,6.97890360167883,6.32589710188901,6.54786055617648,6.04494345637114,6.07733359634833
"Clu",6.27269004552347,6.00879916239663,6.20357043458545,6.15903488733693,6.23771007118972,6.4765298598328,6.21183954617264,6.39445402593739,7.78536159497068,7.70093082895837,7.88562323515771,7.71601858044726,8.23421928032289,8.0973822264482,8.06959025124635,7.88158991557418,10.7473870078202,10.3874858851362,10.3592039383147,10.4955240527124,9.82690692770931,9.75054776711785,9.53423180100968,9.92501424218607
"Cnga1",3.95155880142715,4.01911640475845,4.22194568361987,4.05519761965467,4.02133769342137,3.96503099884745,4.15704464351081,4.19929510316968,3.8617124141876,3.99204412725446,4.01769440946297,3.90298795705902,7.12015352283892,7.49378893445264,7.13617522080679,6.98691533971121,3.9400512722219,4.18845656886568,4.15728384236912,3.80121580664081,8.19732513662201,7.96030441949821,8.36599043820135,8.2885647061832
"Cnga3",5.46030634207644,5.64634322742321,5.96725478795966,5.74006352495307,5.7769146508324,6.05135558766353,5.7522203719341,5.59341576089537,7.16889893870121,6.93150633377124,7.15095125289241,6.89657353789209,5.80721739581394,5.77623541038286,5.68417867766465,5.84729813872658,7.54709547952281,7.33029389983524,7.04275073607421,7.33532236715853,5.98869249792985,5.9191749415806,5.85178513426316,5.70828058630206
"Col4a1",7.95388071634932,7.8370180060764,7.84337303956049,7.98403030085222,6.75172104763815,7.32609906070263,6.77427294572693,6.97567475970755,7.98135201738472,7.76049723727023,7.74355390183313,7.91735857204716,7.8989923646049,7.9372894004522,7.75632583922685,8.04407826325064,6.95688415997004,6.95116750752907,6.89871336747074,7.14846543582308,6.89993852548299,7.04784386926106,7.03235108421406,7.07335462675426
"Cryaa",5.99495545333061,6.86723437330806,9.84253638036216,7.68435297260043,8.48772659681481,6.67457472563967,6.9393210228689,6.6938129818686,7.93256094723947,8.14493397758883,7.08604869454818,7.10796493037547,7.44534850181289,6.85919207150933,6.83120558447066,6.56423249956751,6.99312507436188,7.96623157608208,8.18097305582487,8.19944468529009,8.64946389419656,8.99684875387464,9.21153114894809,9.24760152748635
"Cryba1",5.93606369151611,5.47928863197304,9.44603068875434,7.16600243928351,7.50897751136373,5.60920086893527,6.00210363500387,5.58082526487561,7.49782582008961,7.69941199326082,6.143517098658,6.20882436242945,6.65651100597107,5.67801382202372,5.66352067358546,5.54310604759906,5.87158302842901,6.99074812034726,7.51224340496984,7.4170293626314,8.02619570093969,8.29682861425396,8.61658633374773,8.61047276868326
"Crybb2",5.44527985214745,5.84094965512528,6.30149437373901,5.80463217249077,5.89946623977954,5.98017244271919,5.74305515948273,5.86980000730004,6.09281084142631,6.16824203873351,6.29021199705659,6.17331164631853,6.17697348129322,5.87982946422533,6.09637647921111,5.95888257219676,6.12510061732491,6.99172929324282,7.14484030156127,7.33910885480738,7.97609583325008,8.34866791740612,8.8764718446581,8.74752059866941
"Crygb",3.54573052803953,3.75777246478515,6.42851650910598,5.54716636160121,5.94038827244235,3.43797536557816,3.63950620607292,3.61248007741513,5.54764196647673,6.91610628325023,3.85912575875797,4.15991606416394,4.52673404995637,3.70980892841004,3.9001648620596,3.63160301892898,3.78341092762154,4.04609750223929,4.26636341204607,4.29452979909642,5.37929705011041,5.41635873414488,6.67199966785622,6.75304779778584
"Crygc",4.65507845018507,5.0361280673885,7.32878881347258,6.53123916113511,6.96825920349311,5.21252323502765,5.02562619562596,5.16631202561941,6.41067891515415,7.51106841806549,5.18053300106805,5.39816484678258,5.79541611735414,5.34024398193245,5.20868424359348,4.88442781633776,5.02973846931435,5.52934821416211,5.90491933136214,5.77350636111114,6.97917029141846,6.83403131900313,7.95396370433793,7.98776736487415
"Crygd",6.43227740963998,6.45671466685126,9.88149585872191,8.89277753815776,9.10902619716505,6.15989172819007,6.49522649364586,6.27673989327035,8.80528329658787,9.77030974243057,6.52017120220941,6.92262180801468,8.04204160640671,6.23932128783018,6.35528812975273,6.33927300161986,6.35530432583374,6.72479005497539,6.96588947150388,6.75927571375764,8.06110947615558,7.75475456156726,8.85243965296095,8.89102514486124
"Cryge",6.73427009139532,6.81392247404596,10.6277352278226,9.37158880665776,9.76617183555303,6.66549182204737,6.89212179103929,6.72627464306252,9.23145026016752,10.189309482685,6.91132174534795,7.43971581497511,8.00694549356824,6.79696431216911,7.073190090378,6.67233838845318,6.5681880174401,7.01192518679307,7.25247711876283,6.98599027006048,8.49208835923079,8.24624325975132,9.31353037592057,9.26485604774066
"Crygs",5.16919454288245,5.59339979035831,7.05436162061277,5.63665109941205,6.00017891464267,5.31400360174209,5.48999143393532,5.62091939093306,6.10292866922974,6.34696611938599,5.897829061384,5.89517278347281,6.02734421411167,5.72028856390449,5.62219558077679,5.48745429544932,5.78865043880375,6.99784590489473,7.17902064370394,7.42844275404471,7.61546184814795,8.23751750912365,8.71657502092455,8.63208801725711
"Crym",8.24775318734265,8.12955090908401,8.25841267009219,8.26624658893587,8.13023804323403,8.3325637310602,8.10443544331146,8.3599565068136,9.05699113896891,8.82650171779846,9.17320223867213,9.02890779397061,8.77805340006773,8.50260709591048,8.50014894608588,9.05819592442114,7.57201173516856,7.36111545164895,7.35938134776438,7.60180333851674,6.27824595468029,6.44084666139532,6.40626974713688,6.71862494031359
"Gadd45a",8.20617480873646,8.02580945925902,8.02980919410951,8.00485541871494,7.82530909345999,7.96069115266018,7.85196289473229,8.00458963633742,6.62208009353739,6.5445368504934,6.72480074356839,6.4878361176366,7.89069786777581,7.6852726611378,7.55589689794678,7.74485142847225,6.6502097452534,6.29888223314602,6.40088605460374,6.70785462239409,7.83548374166895,7.7019576183807,7.58579070278458,7.91339380657081
"Doc2b",5.35694034351704,5.50749942956239,5.50244832221778,5.45243447173553,5.49132695299261,5.48688604958762,5.36401413877488,5.38714969736356,6.8398738615908,6.73311313648823,6.7639834562364,6.78928573810169,7.01315178556648,6.72843040545161,6.64720666955324,7.03610862957044,7.37876031469184,7.08304037556135,7.02791030141132,7.38464105646185,6.2457162564756,6.29670394436916,6.0652649768939,6.34855410971806
"Drd4",5.94376255429757,6.44935365149756,6.33821531227253,6.30475073368525,6.52185333299636,6.38351930430903,6.61759453671125,6.49050975254984,7.01042012832564,6.97342774294093,6.96990852963672,6.91093233733999,9.71960151598945,9.52751796681404,9.29614858761855,8.17883165655464,8.82939445607479,8.55906572468171,8.93200318200376,9.09854096028159,10.0221683288551,10.2352095980977,10.1575621051463,10.1158632012512
"Epha8",7.11527361737487,7.38448115595631,7.4805000694857,7.48580536915745,7.35566870705042,7.40991284960269,7.39437352705271,7.57323351417332,7.71361388893185,7.80762212532216,7.74789168236901,7.778810870018,6.2269354785793,6.44308363073872,6.44192024179896,6.18942009580053,6.52108228211805,6.45546355973978,6.75786395643425,6.78989085082603,6.35546412558463,6.3344803422234,6.34757766806013,6.28687706518678
"Fos",2.92629519110778,2.91258663633835,3.15558832884812,2.88356427100624,2.65678854098486,2.80435678787156,2.89901595781885,3.13411800244904,4.40169800595012,4.55673088895233,4.34884083928015,4.9140919083802,4.06141072378592,4.25403014608855,3.88222527312741,4.12149484262141,5.94599038576302,5.9013035075627,6.23096491936809,7.17219028267118,7.07653425751759,7.40665464600037,7.54811043930381,7.33333944011683
"Gas2",4.760830342889,5.66315531048055,5.20083961330424,5.5418038117045,5.1241679673084,4.95568918509127,4.87057104561952,5.074556001557,7.97963409467813,8.58024642401369,7.55349953843845,7.72579934397271,4.17423139334246,4.51331903449045,4.37853294375799,4.01668565105615,5.4112487754711,6.14218816685547,5.1728464295062,5.65740544779087,4.45673785372781,4.77175166998064,4.68605788510195,4.56841174344983
"Gas5",9.52824876307884,8.96967338736301,8.85638244160102,9.31244499547038,9.25025723015906,9.42840736788788,9.37083121253676,9.45059699220734,7.74559537909029,8.59445330823927,7.84188908674871,7.83363716464758,9.0812562870308,8.84597290498375,9.01129887503902,9.34583594782625,6.53068313856369,6.73547549629245,6.39796925704202,6.5225898560185,9.08126103157852,9.30600988152865,9.28378433851336,9.34501134201116
"Opn1mw",5.8972269426252,6.07070475043642,6.35958550904465,6.03364884250748,6.52903254104569,6.08374273343596,6.23922410690781,5.961636386407,6.58487108071169,6.07525224199828,6.22502164018802,6.13937123189859,7.69574390924112,7.25841340120047,7.07852282680968,6.87971001708911,8.81413606208276,8.93928548219399,9.52727461923985,9.64313576886603,8.81292600156963,8.74117425708689,8.62078911153598,8.97374715694081
"Gem",4.38860927072297,4.35445554156039,4.13984449447466,4.32916967546886,4.03328718155773,4.10996210753579,3.7240318016245,4.23808698302706,5.39247264625797,5.53787566287191,5.22704925335978,5.29738202569654,4.76856214338483,4.74041150223793,4.85472218916154,4.69998630546508,6.72786508980474,6.32721170765151,6.37890065489024,6.90725882773147,5.01628049235469,4.94124971505123,5.09667443147221,5.11142176173476
"Gnat1",3.72571854505,3.53540788241464,3.89196114195893,3.4427585921808,3.6910933842541,3.62872369836371,4.65644075749448,3.8837011259849,4.49026835925246,3.46544638257819,3.65453691352658,3.5529225028422,10.6725850074069,10.1825214314106,10.3844974554651,9.43099250390467,5.91335359725517,3.61717017050419,3.84004140340171,3.7545139557197,12.3944125308874,12.5132080319381,12.3582592824753,12.1596376110566
"Gnat2",6.77158662226646,6.67431911794907,6.91022325381863,6.98702447554576,5.90832636907857,6.54884173796526,5.92576726219276,6.63921666924982,9.77433960505562,9.80502313637531,9.95465025666967,9.88777238142736,7.07878651887256,6.88161629017196,6.9132152007728,7.06019642931343,11.0498588724246,11.3165995684276,10.8976760992419,11.4216893192125,8.14076106238962,8.20883753161606,8.23768450415397,8.35151488042399
"Gnb1",5.74840326758975,6.00740037834552,5.85013870404064,6.08372724191604,5.55174054026105,5.81750776030634,5.76413832922012,5.68291848466117,5.07321008515767,5.38683610391602,5.3157674612721,5.59887443229975,7.47610862588994,7.40141512464119,7.56630768033769,7.50030109967896,5.2932285371641,5.25729449511399,5.03262282924638,5.1340769284857,8.20907399380549,8.74673958024073,8.5716295493509,8.25281848614981
"Gnb2",10.637309523098,10.6255404657991,10.7238671411147,10.7147452860305,10.5455826928102,10.8630160698781,10.6900504762591,10.6495743373582,10.6312780097656,10.7166132545373,10.7195298267007,10.7100858258281,10.2163291347467,10.2477223479751,10.1855157453246,10.5868461411186,10.1826151008979,10.1530510218465,10.1467522708726,10.3608140812822,9.07947743613543,9.13714646213583,8.89735112416459,9.09495505528333
"Gnb3",8.97456813592125,9.01910450848281,9.62368194356193,9.44712359360474,8.37736220923866,8.72976926239379,8.79423849658027,8.95169692531145,11.5449938904958,11.7573943893924,11.839765267014,11.9722561484072,10.0268612852334,10.2817522230989,10.3953947011576,10.537914913674,11.8721249581059,12.1206293389695,12.2953763417285,12.3939037361113,9.49188322048053,9.70011997218953,9.80836755015621,9.96741727670376
"Gngt2",7.66140846450683,7.41176184205259,7.61463874823012,7.71159629318056,7.29195077568769,7.39146958351845,7.33882814571133,7.53629064716778,9.48888780431062,9.408386703697,9.43152257606989,9.47314555365588,6.86503992093837,6.52035677077609,6.64053538068874,6.84741226740613,9.74022416609745,9.77756466197672,9.70710672039347,9.86273596193111,6.68990247743548,6.71191186285817,6.57509343922042,6.79815157049291
"Pdpn",6.4422875732032,6.56473680240171,6.48724105963118,6.46024744109061,6.04266028239395,6.26663710289078,6.12832030026291,6.05872272094985,6.07909239710721,6.26763856156318,6.05848270369232,5.97267670294749,5.79535223933263,5.67088454484508,5.75707057488355,5.92381885084632,6.80432720306268,6.57827390450952,6.60128021253155,7.08306478290544,5.68959838741546,5.59692509341335,5.31760161041887,5.81033856657081
"Guca1a",6.0519939472373,6.03681346282274,6.58406407428421,6.5245982349208,6.05174985776368,6.95099588719662,6.03975951436492,7.24096425615773,10.4204497503482,10.7448433490022,10.8306757101415,10.5827240036156,7.79613445995765,8.08224697571217,8.28411177247504,8.34291970039476,12.0835466344267,12.1969100370835,12.3743289998716,12.4767035726588,11.4019872872674,11.7486101978926,11.9362908467965,11.8903545787923
"Hcls1",4.8912708700424,5.21134814207248,5.21572632587359,5.18163783936431,5.13273914563358,5.18296855172481,5.16376767307873,5.19768439424849,5.32394821242123,5.41312211693282,5.46532688861746,5.5648973303977,5.65913596575738,5.84911809322953,5.89911737977202,5.67755079043564,6.07436323545443,5.87079279554156,6.18441252801855,6.06767055066418,7.08657412083148,6.94520182381926,7.1269903919711,7.13480097321544
"Hsph1",8.44029942866982,8.32904057551585,8.24041529599166,8.32145564228143,8.07746848139779,8.12083614339229,7.99018724819406,8.18144302646317,8.09431345729618,8.0318546875503,8.03436318044513,8.00222664206029,8.0372619192669,7.82249350125975,7.81942815181942,8.10454827686251,9.28187509246691,8.95073387222681,8.56734231916996,8.90189802704678,7.67417721353403,7.6747879035213,7.53839477903985,7.80196409846067
