"","KO.P2.1","KO.P2.2","KO.P2.3","KO.P2.4","WT.P2.1","WT.P2.2","WT.P2.3","WT.P2.4","KO.P10.1","KO.P10.2","KO.P10.3","KO.P10.4","WT.P10.1","WT.P10.2","WT.P10.3","WT.P10.4","KO.2.1","KO.2.2","KO.2.3","KO.2.4","WT.2.1","WT.2.2","WT.2.3","WT.2.4"
"100914_at",6.94666403997394,7.16282580380248,7.09705787317365,7.05879242004239,7.20811469880187,6.80580257959115,6.94660432322715,7.09141764761813,7.5744559578153,7.68668796142202,7.60013197150145,7.71812882584643,7.71921459899573,7.74878531346044,7.92499133948077,7.57852983807213,8.15771552702921,8.21051713241868,8.38009117057933,8.42796136878883,7.97052324705607,8.04502291845174,8.2338070787453,7.84388379668924
"102348_at",6.76955954549191,6.95493434616578,6.73480027017874,7.01564860872448,6.12948317179128,6.51103309631378,6.43796618632524,6.39863256722769,6.86355525843014,7.56849730374906,7.01198887747927,6.92957855793143,7.46099552350367,7.41906827852067,7.62350247066758,7.55042297616867,7.69502751695449,7.82802554636794,7.45186833299537,7.43461594515143,7.35467444218557,7.61669636711455,7.94639844068363,7.38298359728454
"99138_at",7.22057966426585,7.40105246065806,7.2549670757929,7.44906882733216,7.18791660157588,7.44095549487104,7.30004865895671,7.55878279778572,6.28510369397531,6.31005117149472,6.21580962823152,6.36322841602678,5.89035275328143,6.19753841390614,6.24810089845469,6.33175541982367,6.33491858746262,6.27282246888783,6.34684004456887,6.32211512825804,6.38075368296499,6.14748909995695,6.34126834417857,6.29423184424603
"97425_at",6.62816500851979,6.42524952961396,6.61796169418041,6.66095667373262,6.64450335108253,6.60029458758093,6.4841375661098,6.68232681035519,7.17882176705597,7.03896119600462,7.2144046583284,7.08707817031191,7.70986795632381,7.52289692515254,7.42046178131386,7.68960176264201,7.70293471375045,7.36897008545082,7.69856139217435,7.6716937583522,7.46053723026607,7.50496438444957,7.49200654659077,7.78206929120872
"98471_f_at",9.14092757306678,7.43997736752956,7.5877349542087,8.21953581365604,8.49856118925021,8.5805396057748,8.27614303501564,8.71532379690204,6.67032656705299,6.54419873469405,6.10562472155076,6.53649997499407,6.2915308228597,6.44490291342046,6.59690388402715,6.41919858850406,6.53086417101831,6.47639536743606,6.37175302509644,6.40773098111796,6.4121822924188,6.41436010340586,6.54279578875404,6.43938059000638
"101129_at",11.3262561071637,11.3813375530803,11.1692231237032,11.4820937108962,10.7950002118291,11.1632281802688,11.2470801062845,11.2792134800656,10.8506678662386,11.0426180394792,10.7768573209875,10.9557071149711,10.4196059570112,10.5678403438829,10.7899226142722,10.9049931495782,10.3318622051199,10.3302388744585,10.1921460558329,10.6253412859577,10.3935547246972,10.5741636787113,10.6894626224337,10.7580119508795
"97414_at",7.22283150457694,7.10287344469747,7.239896379311,7.17143338276736,7.23747717254422,7.29686842506126,7.19364219524833,7.46012303393042,6.84576338869175,6.62337030445856,6.77621241804458,6.70528086403845,6.58535980930882,6.66829396499555,6.77761544629704,6.88434839764208,6.26467593134775,6.54752621588062,6.46950492991167,6.63708180808701,6.60108818564188,6.49966166638258,6.4985435826354,6.72398095371455
"162332_f_at",5.52104220214824,5.67280068966596,5.8496103989135,5.6428729843566,5.40958254522511,5.69966046986227,5.57204228495247,5.87348292808166,6.39722200657239,6.48330040012257,6.52886883145258,6.48571219692305,6.62464481495137,6.80628709826029,6.98544260032042,6.6399749830645,6.4687007171217,6.73965741259632,6.77079947304419,6.78946232889819,6.94194680520814,7.25779760888748,7.1915002964265,7.53882550739172
"99493_at",7.06323910919658,7.2661216562115,7.1045043201065,7.27781148114684,7.1489616543295,7.12172746483698,7.22651841614112,7.32544241846739,7.8228798345973,7.71983526282244,7.65212597650928,7.69820763187595,8.31107794472508,8.17714318459455,8.11237354693946,8.34444132228434,8.41723383871251,8.20387503481565,8.11155523021303,8.55883220452638,8.6060103526244,8.63694554730619,8.59522395093375,8.80319632495117
"93464_at",5.54185106966059,6.91672043747177,6.20521407572867,6.5096564917811,5.85052520815577,6.65346392765818,6.04780243481087,5.53997370799026,5.64907351177512,6.40156379781302,5.92988772741401,5.51748759464439,5.51728237394781,5.88877592907655,5.85259279041133,5.55175325451925,5.47340733406282,6.19564204044963,5.43630973313425,5.76329792907712,5.36758175510285,6.2733046496939,6.21406909965805,5.36788084616896
